Distance;points;avg intensity;
304;1896;57.911721;
305;1960;58.821739;
306;1896;57.100021;
307;1940;56.645536;
308;1896;57.834701;
309;2024;57.750269;
310;1924;57.193949;
311;1960;57.427295;
312;1936;56.801123;
313;1968;57.768334;
314;2028;59.085027;
315;1976;57.309752;
316;1968;57.670388;
317;1996;58.184831;
318;2016;54.805804;
319;1992;58.149000;
320;1988;57.840919;
321;2016;58.590139;
322;2056;56.219060;
323;2040;57.227334;
324;1996;57.084827;
325;2064;58.029049;
326;2064;57.966353;
327;2084;57.545203;
328;2080;57.524011;
329;2032;57.435850;
330;2088;58.984256;
331;2052;58.170276;
332;2064;57.067457;
333;2160;58.140309;
334;2076;57.626344;
335;2120;59.256158;
336;2088;59.495332;
337;2072;57.597619;
338;2204;58.697038;
339;2120;57.076642;
340;2176;58.202399;
341;2124;57.819101;
342;2112;57.849399;
343;2224;57.918512;
344;2108;56.952108;
345;2216;57.940009;
346;2152;58.609300;
347;2192;60.110684;
348;2180;57.085998;
349;2152;58.815757;
350;2224;59.239155;
351;2228;57.921905;
352;2224;58.610134;
353;2232;57.010912;
354;2184;58.710939;
355;2276;57.711979;
356;2200;59.140464;
357;2296;59.043202;
358;2228;58.660458;
359;2224;59.261227;
360;2312;57.182013;
361;2228;58.709546;
362;2304;58.761010;
363;2240;58.820002;
364;2336;57.533115;
365;2308;60.225733;
366;2304;58.598835;
367;2288;57.949222;
368;2316;58.740260;
369;2352;59.171247;
370;2320;58.852176;
371;2312;58.237507;
372;2332;58.251989;
373;2344;58.859534;
374;2400;57.572444;
375;2332;58.632468;
376;2344;57.852359;
377;2400;57.394275;
378;2356;58.943105;
379;2400;59.043698;
380;2336;58.615071;
381;2440;59.034511;
382;2420;60.268146;
383;2400;58.633387;
384;2416;59.168709;
385;2412;59.895653;
386;2464;60.569907;
387;2400;59.245398;
388;2448;59.472213;
389;2460;60.469535;
390;2432;57.108545;
391;2488;59.826378;
392;2420;59.770365;
393;2488;60.017215;
394;2528;58.701185;
395;2440;60.093281;
396;2508;59.972373;
397;2440;60.608572;
398;2576;58.827581;
399;2500;59.181783;
400;2496;58.500934;
401;2560;60.232917;
402;2492;59.426220;
403;2568;59.104847;
404;2512;59.532936;
405;2528;60.820387;
406;2604;59.471786;
407;2520;60.536445;
408;2600;59.638203;
409;2524;60.320266;
410;2584;60.892388;
411;2616;59.615334;
412;2584;61.355263;
413;2588;59.911274;
414;2584;61.460706;
415;2680;61.323209;
416;2588;60.303093;
417;2600;61.105757;
418;2592;60.776195;
419;2676;59.677751;
420;2656;62.292075;
421;2648;64.523807;
422;2672;62.195458;
423;2644;60.671522;
424;2672;62.036145;
425;2688;62.319575;
426;2652;61.791344;
427;2712;61.402237;
428;2696;62.219283;
429;2680;63.552892;
430;2660;64.221255;
431;2680;61.950040;
432;2800;63.116830;
433;2700;63.198637;
434;2760;62.897416;
435;2696;63.082088;
436;2736;61.035669;
437;2780;63.143422;
438;2744;61.899118;
439;2800;63.259257;
440;2756;61.915631;
441;2768;62.774431;
442;2768;61.704170;
443;2724;62.999201;
444;2864;61.505650;
445;2784;63.102356;
446;2824;62.479674;
447;2804;62.015781;
448;2728;62.914495;
449;2904;64.704200;
450;2852;64.493163;
451;2848;64.758302;
452;2824;65.035392;
453;2832;65.154624;
454;2876;64.461172;
455;2816;65.458632;
456;2912;64.814466;
457;2892;65.040300;
458;2872;64.971023;
459;2888;65.857899;
460;2836;67.431443;
461;2936;65.912394;
462;2880;66.395309;
463;2944;68.216129;
464;2916;70.255071;
